"date";"price";"instrument"
"2013-01-02";"112,302";"Maj Invest Globale Obligationer"
"2013-01-03";"112,6";"Maj Invest Globale Obligationer"
"2013-01-04";"112,6";"Maj Invest Globale Obligationer"
"2013-01-07";"112,7";"Maj Invest Globale Obligationer"
"2013-01-08";"112,7";"Maj Invest Globale Obligationer"
"2013-01-09";"112,8";"Maj Invest Globale Obligationer"
"2013-01-10";"112,5";"Maj Invest Globale Obligationer"
"2013-01-11";"112,3";"Maj Invest Globale Obligationer"
"2013-01-14";"112,3";"Maj Invest Globale Obligationer"
"2013-01-15";"112,6";"Maj Invest Globale Obligationer"
"2013-01-16";"112,6";"Maj Invest Globale Obligationer"
"2013-01-17";"112,4";"Maj Invest Globale Obligationer"
"2013-01-18";"112,5";"Maj Invest Globale Obligationer"
"2013-01-21";"112,5";"Maj Invest Globale Obligationer"
"2013-01-22";"112,4";"Maj Invest Globale Obligationer"
"2013-01-23";"112,2";"Maj Invest Globale Obligationer"
"2013-01-24";"112,4";"Maj Invest Globale Obligationer"
"2013-01-25";"112,0";"Maj Invest Globale Obligationer"
"2013-01-28";"111,7";"Maj Invest Globale Obligationer"
"2013-01-29";"111,7";"Maj Invest Globale Obligationer"
"2013-01-30";"111,5";"Maj Invest Globale Obligationer"
"2013-01-31";"111,3";"Maj Invest Globale Obligationer"
"2013-02-01";"111,3";"Maj Invest Globale Obligationer"
"2013-02-04";"110,2";"Maj Invest Globale Obligationer"
"2013-02-05";"111,1";"Maj Invest Globale Obligationer"
"2013-02-06";"110,8";"Maj Invest Globale Obligationer"
"2013-02-07";"111,3";"Maj Invest Globale Obligationer"
"2013-02-08";"111,7";"Maj Invest Globale Obligationer"
"2013-02-11";"111,8";"Maj Invest Globale Obligationer"
"2013-02-12";"111,5";"Maj Invest Globale Obligationer"
"2013-02-13";"111,8";"Maj Invest Globale Obligationer"
"2013-02-14";"111,2";"Maj Invest Globale Obligationer"
"2013-02-15";"112,2";"Maj Invest Globale Obligationer"
"2013-02-18";"112,2";"Maj Invest Globale Obligationer"
"2013-02-19";"112,3";"Maj Invest Globale Obligationer"
"2013-02-20";"111,9";"Maj Invest Globale Obligationer"
"2013-02-21";"111,7";"Maj Invest Globale Obligationer"
"2013-02-22";"111,8";"Maj Invest Globale Obligationer"
"2013-02-25";"111,8";"Maj Invest Globale Obligationer"
"2013-02-26";"112,1";"Maj Invest Globale Obligationer"
"2013-02-27";"112,3";"Maj Invest Globale Obligationer"
"2013-02-28";"112,8";"Maj Invest Globale Obligationer"
"2013-03-01";"113,1";"Maj Invest Globale Obligationer"
"2013-03-04";"112,7";"Maj Invest Globale Obligationer"
"2013-03-05";"112,9";"Maj Invest Globale Obligationer"
"2013-03-06";"112,9";"Maj Invest Globale Obligationer"
"2013-03-07";"112,9";"Maj Invest Globale Obligationer"
"2013-03-08";"113,2";"Maj Invest Globale Obligationer"
"2013-03-11";"113,2";"Maj Invest Globale Obligationer"
"2013-03-12";"113,2";"Maj Invest Globale Obligationer"
"2013-03-13";"113,6";"Maj Invest Globale Obligationer"
"2013-03-14";"113,4";"Maj Invest Globale Obligationer"
"2013-03-15";"113,2";"Maj Invest Globale Obligationer"
"2013-03-18";"113,6";"Maj Invest Globale Obligationer"
"2013-03-19";"113,6";"Maj Invest Globale Obligationer"
"2013-03-20";"113,4";"Maj Invest Globale Obligationer"
"2013-03-21";"113,3";"Maj Invest Globale Obligationer"
"2013-03-22";"113,4";"Maj Invest Globale Obligationer"
"2013-03-25";"113,8";"Maj Invest Globale Obligationer"
"2013-03-26";"113,9";"Maj Invest Globale Obligationer"
"2013-03-27";"114,4";"Maj Invest Globale Obligationer"
"2013-04-02";"114,3";"Maj Invest Globale Obligationer"
"2013-04-03";"114,3";"Maj Invest Globale Obligationer"
"2013-04-04";"114,3";"Maj Invest Globale Obligationer"
"2013-04-05";"114,1";"Maj Invest Globale Obligationer"
"2013-04-08";"114,3";"Maj Invest Globale Obligationer"
"2013-04-09";"114,4";"Maj Invest Globale Obligationer"
"2013-04-10";"114,3";"Maj Invest Globale Obligationer"
"2013-04-11";"108,2";"Maj Invest Globale Obligationer"
"2013-04-12";"108,4";"Maj Invest Globale Obligationer"
"2013-04-15";"108,3";"Maj Invest Globale Obligationer"
"2013-04-16";"108,1";"Maj Invest Globale Obligationer"
"2013-04-17";"108,1";"Maj Invest Globale Obligationer"
"2013-04-18";"108,3";"Maj Invest Globale Obligationer"
"2013-04-19";"108,4";"Maj Invest Globale Obligationer"
"2013-04-22";"108,4";"Maj Invest Globale Obligationer"
"2013-04-23";"108,6";"Maj Invest Globale Obligationer"
"2013-04-24";"108,7";"Maj Invest Globale Obligationer"
"2013-04-25";"108,9";"Maj Invest Globale Obligationer"
"2013-04-29";"109,0";"Maj Invest Globale Obligationer"
"2013-04-30";"108,9";"Maj Invest Globale Obligationer"
"2013-05-01";"108,7";"Maj Invest Globale Obligationer"
"2013-05-02";"108,6";"Maj Invest Globale Obligationer"
"2013-05-03";"109,1";"Maj Invest Globale Obligationer"
"2013-05-06";"108,7";"Maj Invest Globale Obligationer"
"2013-05-07";"108,7";"Maj Invest Globale Obligationer"
"2013-05-08";"108,6";"Maj Invest Globale Obligationer"
"2013-05-13";"109,4";"Maj Invest Globale Obligationer"
"2013-05-14";"109,3";"Maj Invest Globale Obligationer"
"2013-05-15";"109,4";"Maj Invest Globale Obligationer"
"2013-05-16";"109,4";"Maj Invest Globale Obligationer"
"2013-05-17";"109,5";"Maj Invest Globale Obligationer"
"2013-05-21";"109,4";"Maj Invest Globale Obligationer"
"2013-05-22";"109,4";"Maj Invest Globale Obligationer"
"2013-05-23";"108,9";"Maj Invest Globale Obligationer"
"2013-05-24";"109,0";"Maj Invest Globale Obligationer"
"2013-05-27";"109,0";"Maj Invest Globale Obligationer"
"2013-05-28";"109,0";"Maj Invest Globale Obligationer"
"2013-05-29";"108,6";"Maj Invest Globale Obligationer"
"2013-05-30";"108,0";"Maj Invest Globale Obligationer"
"2013-05-31";"108,1";"Maj Invest Globale Obligationer"
"2013-06-03";"107,9";"Maj Invest Globale Obligationer"
"2013-06-04";"107,8";"Maj Invest Globale Obligationer"
"2013-06-06";"107,0";"Maj Invest Globale Obligationer"
"2013-06-07";"106,6";"Maj Invest Globale Obligationer"
"2013-06-10";"106,8";"Maj Invest Globale Obligationer"
"2013-06-11";"106,2";"Maj Invest Globale Obligationer"
"2013-06-12";"106,4";"Maj Invest Globale Obligationer"
"2013-06-13";"106,0";"Maj Invest Globale Obligationer"
"2013-06-14";"106,8";"Maj Invest Globale Obligationer"
"2013-06-17";"106,8";"Maj Invest Globale Obligationer"
"2013-06-18";"106,3";"Maj Invest Globale Obligationer"
"2013-06-19";"106,1";"Maj Invest Globale Obligationer"
"2013-06-20";"105,7";"Maj Invest Globale Obligationer"
"2013-06-21";"104,8";"Maj Invest Globale Obligationer"
"2013-06-24";"104,4";"Maj Invest Globale Obligationer"
"2013-06-25";"104,7";"Maj Invest Globale Obligationer"
"2013-06-26";"103,9";"Maj Invest Globale Obligationer"
"2013-06-27";"105,4";"Maj Invest Globale Obligationer"
"2013-06-28";"105,0";"Maj Invest Globale Obligationer"
"2013-07-01";"105,0";"Maj Invest Globale Obligationer"
"2013-07-02";"105,5";"Maj Invest Globale Obligationer"
"2013-07-03";"105,4";"Maj Invest Globale Obligationer"
"2013-07-04";"105,4";"Maj Invest Globale Obligationer"
"2013-07-05";"105,9";"Maj Invest Globale Obligationer"
"2013-07-08";"105,5";"Maj Invest Globale Obligationer"
"2013-07-09";"106,0";"Maj Invest Globale Obligationer"
"2013-07-10";"106,6";"Maj Invest Globale Obligationer"
"2013-07-11";"106,4";"Maj Invest Globale Obligationer"
"2013-07-12";"106,3";"Maj Invest Globale Obligationer"
"2013-07-15";"106,5";"Maj Invest Globale Obligationer"
"2013-07-17";"106,6";"Maj Invest Globale Obligationer"
"2013-07-18";"107,0";"Maj Invest Globale Obligationer"
"2013-07-19";"106,9";"Maj Invest Globale Obligationer"
"2013-07-22";"106,6";"Maj Invest Globale Obligationer"
"2013-07-23";"106,6";"Maj Invest Globale Obligationer"
"2013-07-24";"106,9";"Maj Invest Globale Obligationer"
"2013-07-25";"106,6";"Maj Invest Globale Obligationer"
"2013-07-26";"106,5";"Maj Invest Globale Obligationer"
"2013-07-29";"106,1";"Maj Invest Globale Obligationer"
"2013-07-30";"106,0";"Maj Invest Globale Obligationer"
"2013-07-31";"106,2";"Maj Invest Globale Obligationer"
"2013-08-01";"106,2";"Maj Invest Globale Obligationer"
"2013-08-02";"106,2";"Maj Invest Globale Obligationer"
"2013-08-05";"106,4";"Maj Invest Globale Obligationer"
"2013-08-06";"105,6";"Maj Invest Globale Obligationer"
"2013-08-07";"106,4";"Maj Invest Globale Obligationer"
"2013-08-08";"106,3";"Maj Invest Globale Obligationer"
"2013-08-09";"106,4";"Maj Invest Globale Obligationer"
"2013-08-12";"106,3";"Maj Invest Globale Obligationer"
"2013-08-13";"106,3";"Maj Invest Globale Obligationer"
"2013-08-14";"105,8";"Maj Invest Globale Obligationer"
"2013-08-15";"106,0";"Maj Invest Globale Obligationer"
"2013-08-16";"105,9";"Maj Invest Globale Obligationer"
"2013-08-19";"105,2";"Maj Invest Globale Obligationer"
"2013-08-20";"104,6";"Maj Invest Globale Obligationer"
"2013-08-21";"104,7";"Maj Invest Globale Obligationer"
"2013-08-22";"104,2";"Maj Invest Globale Obligationer"
"2013-08-23";"105,1";"Maj Invest Globale Obligationer"
"2013-08-26";"105,1";"Maj Invest Globale Obligationer"
"2013-08-27";"105,1";"Maj Invest Globale Obligationer"
"2013-08-28";"104,9";"Maj Invest Globale Obligationer"
"2013-08-29";"104,1";"Maj Invest Globale Obligationer"
"2013-08-30";"105,0";"Maj Invest Globale Obligationer"
"2013-09-02";"104,6";"Maj Invest Globale Obligationer"
"2013-09-03";"105,4";"Maj Invest Globale Obligationer"
"2013-09-04";"105,4";"Maj Invest Globale Obligationer"
"2013-09-05";"105,2";"Maj Invest Globale Obligationer"
"2013-09-06";"105,2";"Maj Invest Globale Obligationer"
"2013-09-09";"104,5";"Maj Invest Globale Obligationer"
"2013-09-10";"105,1";"Maj Invest Globale Obligationer"
"2013-09-11";"105,6";"Maj Invest Globale Obligationer"
"2013-09-12";"105,6";"Maj Invest Globale Obligationer"
"2013-09-13";"105,9";"Maj Invest Globale Obligationer"
